date,rate
2023-05-12,137.25
2023-05-15,138.38999938964844
2023-05-16,138.49000549316406
2023-05-17,138.77000427246094
2023-05-18,139.49000549316406
2023-05-19,140.30999755859375
2023-05-22,139.50999450683594
2023-05-23,139.64999389648438
2023-05-24,140.57000732421875
2023-05-25,140.17999267578125
2023-05-26,139.6699981689453
2023-05-29,138.94000244140625
2023-05-30,139.13999938964844
2023-05-31,138.82000732421875
2023-06-01,139.6999969482422
2023-06-02,139.02000427246094
2023-06-05,140.75999450683594
2023-06-06,140.58999633789062
2023-06-07,140.3800048828125
2023-06-08,140.0800018310547
2023-06-09,138.36000061035156
2023-06-12,139.1300048828125
2023-06-13,138.61000061035156
2023-06-14,137.52000427246094
2023-06-15,137.2100067138672
2023-06-16,136.11000061035156
2023-06-19,136.1699981689453
2023-06-20,136.19000244140625
2023-06-21,135.8699951171875
2023-06-22,134.25
2023-06-23,135.61000061035156
2023-06-26,136.22999572753906
2023-06-27,136.17999267578125
2023-06-28,135.41000366210938
2023-06-29,135.74000549316406
2023-06-30,136.72000122070312
2023-07-03,136.02999877929688
2023-07-04,136.14999389648438
2023-07-05,136.89999389648438
2023-07-06,136.50999450683594
2023-07-07,134.41000366210938
2023-07-10,133.8300018310547
2023-07-11,133.35000610351562
2023-07-12,133.0800018310547
2023-07-13,131.60000610351562
2023-07-14,130.58999633789062
2023-07-17,130.5500030517578
2023-07-18,130.25
2023-07-19,130.1699981689453
2023-07-20,130.4499969482422
2023-07-21,131.10000610351562
2023-07-24,131.2100067138672
2023-07-25,131.94000244140625
2023-07-26,131.19000244140625
2023-07-27,131.22000122070312
2023-07-28,132.22999572753906
2023-07-31,131.13999938964844
2023-08-01,130.91000366210938
2023-08-02,130.7899932861328
2023-08-03,131.9199981689453
2023-08-04,131.8300018310547
2023-08-07,131.58999633789062
2023-08-08,131.57000732421875
2023-08-09,131.57000732421875
2023-08-10,131.14999389648438
2023-08-11,131.27999877929688
2023-08-14,131.9199981689453
2023-08-15,131.80999755859375
2023-08-16,131.85000610351562
2023-08-17,132.22000122070312
2023-08-18,131.83999633789062
2023-08-21,131.8300018310547
2023-08-22,131.55999755859375
2023-08-23,132.0
2023-08-24,131.39999389648438
2023-08-25,132.22000122070312
2023-08-28,131.5
2023-08-29,131.16000366210938
2023-08-30,130.44000244140625
2023-08-31,130.08999633789062
2023-09-01,130.74000549316406
2023-09-04,132.32000732421875
2023-09-05,133.05999755859375
2023-09-06,133.32000732421875
2023-09-07,133.8699951171875
2023-09-08,134.0399932861328
2023-09-11,133.7899932861328
2023-09-12,133.39999389648438
2023-09-13,133.35000610351562
2023-09-14,134.16000366210938
2023-09-15,136.3300018310547
2023-09-18,135.77999877929688
2023-09-19,135.41000366210938
2023-09-20,135.52999877929688
2023-09-21,135.3000030517578
2023-09-22,135.99000549316406
2023-09-25,136.16000366210938
2023-09-26,136.6699981689453
2023-09-27,136.99000549316406
2023-09-28,137.63999938964844
2023-09-29,136.8800048828125
2023-10-02,137.52000427246094
2023-10-03,139.67999267578125
2023-10-04,139.05999755859375
2023-10-05,138.3699951171875
2023-10-06,137.10000610351562
2023-10-09,136.75999450683594
2023-10-10,137.42999267578125
2023-10-11,137.64999389648438
2023-10-12,137.60000610351562
2023-10-13,138.75
2023-10-16,138.75999450683594
2023-10-17,138.32000732421875
2023-10-18,138.27999877929688
2023-10-19,138.5399932861328
2023-10-20,137.9199981689453
2023-10-23,138.4199981689453
2023-10-24,137.55999755859375
2023-10-25,138.5399932861328
2023-10-26,139.2899932861328
2023-10-27,139.3300018310547
2023-10-30,138.9199981689453
2023-10-31,138.27999877929688
2023-11-01,139.1300048828125
2023-11-02,139.2100067138672
2023-11-03,139.2100067138672
2023-11-06,138.66000366210938
2023-11-07,140.1300048828125
2023-11-08,140.39999389648438
2023-11-09,140.42999267578125
2023-11-10,141.5399932861328
2023-11-13,141.85000610351562
2023-11-14,143.52000427246094
2023-11-15,140.80999755859375
2023-11-16,141.3000030517578
2023-11-17,140.9600067138672
2023-11-20,139.75999450683594
2023-11-21,139.02999877929688
2023-11-22,139.94000244140625
2023-11-23,141.0500030517578
2023-11-24,139.92999267578125
2023-11-27,137.25
2023-11-28,137.0399932861328
2023-11-29,136.66000366210938
2023-11-30,136.85000610351562
2023-12-01,138.11000061035156
2023-12-04,138.52999877929688
2023-12-05,138.9499969482422
2023-12-06,139.13999938964844
2023-12-07,139.1300048828125
2023-12-08,138.80999755859375
2023-12-11,139.33999633789062
2023-12-12,139.67999267578125
2023-12-13,139.6300048828125
2023-12-14,139.1699981689453
2023-12-15,136.6199951171875
2023-12-18,137.8300018310547
2023-12-19,137.66000366210938
2023-12-20,136.75999450683594
2023-12-21,137.0500030517578
2023-12-22,136.25999450683594
2023-12-25,136.3699951171875
2023-12-26,136.27000427246094
2023-12-27,136.0500030517578
2023-12-28,135.36000061035156
2023-12-29,135.3699951171875
2024-01-01,135.6999969482422
2024-01-02,135.6999969482422
2024-01-03,137.41000366210938
2024-01-04,137.6300048828125
2024-01-05,137.17999267578125
2024-01-08,137.49000549316406
2024-01-09,137.3300018310547
2024-01-10,137.19000244140625
2024-01-11,136.27999877929688
2024-01-12,136.38999938964844
2024-01-15,136.4199981689453
2024-01-16,136.0399932861328
2024-01-17,136.9499969482422
2024-01-18,137.0500030517578
2024-01-19,137.1199951171875
2024-01-22,136.35000610351562
2024-01-23,136.22000122070312
2024-01-24,136.27999877929688
2024-01-25,135.6300048828125
2024-01-26,136.25
2024-01-29,136.52999877929688
2024-01-30,136.77000427246094
2024-01-31,136.47000122070312
